date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:20	248022/248022	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20May%202023%2017:39:45%20GMT	https://www.awwwards.com/academy/course/creative-portfolios-a-powerful-visual-language-for-brands-online-course	C:/My%20Web%20Sites/https___www.awwwards.com_/www.awwwards.com/academy/course/creative-portfolios-a-powerful-visual-language-for-brands-online-course.html	(from https://www.awwwards.com/)
20:04:20	310280/310280	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20May%202023%2017:39:45%20GMT	https://www.awwwards.com/immersivegarden/	C:/My%20Web%20Sites/https___www.awwwards.com_/www.awwwards.com/immersivegarden/index.html	(from https://www.awwwards.com/)
20:04:21	2509/2509	---M--	200	added ('OK')	image/jpeg	etag:%2261d7fc96-9cd%22	https://assets.awwwards.com/awards/media/cache/thumb_user_retina/avatar/207/560d58029b7c5.jpeg	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_user_retina/avatar/207/560d58029b7c5.jpg	(from https://www.awwwards.com/)
20:04:21	28010/28010	---M--	200	added ('OK')	image/jpeg	etag:%226441243c-6d6a%22	https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/04/6441243b1dde7385395024.jpg	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/04/6441243b1dde7385395024.jpg	(from https://www.awwwards.com/)
20:04:22	18979/18979	---M--	200	added ('OK')	image/jpeg	etag:%22643031ec-4a23%22	https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/04/643031ead8cd4599218801.jpg	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/04/643031ead8cd4599218801.jpg	(from https://www.awwwards.com/)
20:04:22	23975/23975	---M--	200	added ('OK')	image/jpeg	etag:%2263d924f4-5da7%22	https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/01/63d924f2e7db4270341652.jpg	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/01/63d924f2e7db4270341652.jpg	(from https://www.awwwards.com/)
20:04:22	15285/15285	---M--	200	added ('OK')	image/jpeg	etag:%2263ebc6e2-3bb5%22	https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/02/63ebc6e0d0c5f248746503.jpg	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/02/63ebc6e0d0c5f248746503.jpg	(from https://www.awwwards.com/)
20:04:23	35870/35870	---M--	200	added ('OK')	image/png	etag:%2263c197b7-8c1e%22	https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/01/63c197b22e3ad391897464.png	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/01/63c197b22e3ad391897464.png	(from https://www.awwwards.com/)
20:04:23	3892/3892	---M--	200	added ('OK')	image/png	etag:%2261d7fe9b-f34%22	https://assets.awwwards.com/awards/media/cache/thumb_user_retina/avatar/196/547e36f11e834.png	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_user_retina/avatar/196/547e36f11e834.png	(from https://www.awwwards.com/)
20:04:23	279378/279378	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20May%202023%2017:39:48%20GMT	https://www.awwwards.com/hellomonday/	C:/My%20Web%20Sites/https___www.awwwards.com_/www.awwwards.com/hellomonday/index.html	(from https://www.awwwards.com/)
20:04:23	47242/47242	---M--	200	added ('OK')	image/png	etag:%22643e8b09-b88a%22	https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/04/643e8b04767e4542913448.png	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2023/04/643e8b04767e4542913448.png	(from https://www.awwwards.com/)
20:04:24	23566/23566	---M--	200	added ('OK')	image/jpeg	etag:%226386208b-5c0e%22	https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2022/11/6386208a777d1274292086.jpg	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2022/11/6386208a777d1274292086.jpg	(from https://www.awwwards.com/)
20:04:24	23097/23097	---M--	200	added ('OK')	image/jpeg	etag:%22635643e3-5a39%22	https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2021/07/60ddcc413ea60325819355.jpg	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2021/07/60ddcc413ea60325819355.jpg	(from https://www.awwwards.com/)
20:04:25	185727/185727	---M--	200	added ('OK')	image/png	etag:%22635643f0-2d57f%22	https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2021/10/615edf4e7d631258761155.png	C:/My%20Web%20Sites/https___www.awwwards.com_/assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2021/10/615edf4e7d631258761155.png	(from https://www.awwwards.com/)
